 electric dipole polarizability:    384.26933324500436     
 m1, energy weight E*R sum:         69381.922242387809     
 m0, R(E) sum:                      2426.7648038431062     
 centroid m1/m0:                    28.590295249260361     
               E                R(E)           photodisintegration cross section
         21.90000000         31.48647091        277.37063268
         22.00000000         32.55604519        288.10228270
         22.10000000         33.68081931        299.41068647
         22.20000000         34.86459707        311.33647273
         22.30000000         36.11150597        323.92378557
         22.40000000         37.42602915        337.22063801
         22.50000000         38.81304094        351.27930460
         22.60000000         40.27784611        366.15675728
         22.70000000         41.82622341        381.91514946
         22.80000000         43.46447374        398.62235312
         22.90000000         45.19947344        416.35255457
         23.00000000         47.03873308        435.18691436
         23.10000000         48.99046233        455.21429721
         23.20000000         51.06364115        476.53207746
         23.30000000         53.26809788        499.24702542
         23.40000000         55.61459426        523.47627868
         23.50000000         58.11491764        549.34840114
         23.60000000         60.78198006        577.00452981
         23.70000000         63.62992355        606.59960518
         23.80000000         66.67423051        638.30367537
         23.90000000         69.93183710        672.30325526
         24.00000000         73.42124620        708.80270984
         24.10000000         77.16263514        748.02561359
         24.20000000         81.17795094        790.21601427
         24.30000000         85.49098276        835.63949704
         24.40000000         90.12739723        884.58390182
         24.50000000         95.11471702        937.35948957
         24.60000000        100.48221608        994.29827880
         24.70000000        106.26069636       1055.75217981
         24.80000000        112.48210043       1122.08943743
         24.90000000        119.17890201       1193.68875576
         25.00000000        126.38320297       1270.93032466
         25.10000000        134.12545248       1354.18281278
         25.20000000        142.43269397       1443.78526533
         25.30000000        151.32624406       1540.02279794
         25.40000000        160.81872203       1643.09509472
         25.50000000        170.91039009       1753.07712035
         25.60000000        181.58484826       1869.87230240
         25.70000000        192.80426803       1993.15990731
         25.80000000        204.50455828       2122.34056253
         25.90000000        216.59113118       2256.48686293
         26.00000000        228.93624335       2394.30942998
         26.10000000        241.37914991       2534.15186052
         26.20000000        253.73039455       2674.02930235
         26.30000000        265.78130010       2811.72308042
         26.40000000        277.31897662       2944.93620740
         26.50000000        288.14591327       3071.50137624
         26.60000000        298.10168177       3189.61627520
         26.70000000        307.08293309       3298.06580994
         26.80000000        315.05731816       3396.38365192
         26.90000000        322.06764656       3484.91151670
         27.00000000        328.22448639       3564.73391014
