 electric dipole polarizability:    15104.186366367150     
 m1, energy weight E*R sum:         455024.14326802036     
 m0, R(E) sum:                      33782.294355871818     
 centroid m1/m0:                    13.469308463027202     
               E                R(E)           photodisintegration cross section
          7.50000000       1429.03091231       4311.17113357
          7.60000000       1388.75391001       4245.52363409
          7.70000000       1352.48112005       4189.03811919
          7.80000000       1320.16314410       4142.04280468
          7.90000000       1291.59733725       4104.37097922
          8.00000000       1266.46297448       4075.44334765
          8.10000000       1244.35624249       4054.35829246
          8.20000000       1224.82477391       4039.98907143
          8.30000000       1207.40034631       4031.08322254
          8.40000000       1191.62745739       4026.35592714
          8.50000000       1177.08538686       4024.56799984
          8.60000000       1163.40239769       4024.58201081
          8.70000000       1150.26267183       4025.39640926
          8.80000000       1137.40858123       4026.16480883
          8.90000000       1124.64191497       4026.21208423
          9.00000000       1111.82705261       4025.05780957
          9.10000000       1098.89695840       4022.45078823
          9.20000000       1085.86025474       4018.40902337
          9.30000000       1072.80581711       4013.25212369
          9.40000000       1059.90123175       4007.61161247
          9.50000000       1047.38310783       4002.40973778
          9.60000000       1035.53980827       3998.80666822
          9.70000000       1024.68946478       3998.12512127
          9.80000000       1015.15727095       4001.76683949
          9.90000000       1007.25577670       4011.13553836
         10.00000000       1001.27064140       4027.57705605
         10.10000000        997.45271519       4052.34177367
         10.20000000        996.01597934       4086.56916399
         10.30000000        997.14007174       4131.29083965
         10.40000000       1000.97585698       4187.44694759
         10.50000000       1007.65262132       4255.91077058
         10.60000000       1017.28579151       4337.51729908
         10.70000000       1029.98444284       4433.09275859
         10.80000000       1045.85818481       4543.48324544
         10.90000000       1065.02325620       4669.58155797
         11.00000000       1087.60782136       4812.35196439
         11.10000000       1113.75655052       4972.85305210
         11.20000000       1143.63460698       5152.25901042
         11.30000000       1177.43117024       5351.87976594
         11.40000000       1215.36260859       5573.18036146
         11.50000000       1257.67538704       5817.79987533
         11.60000000       1304.64875865       6087.57003307
         11.70000000       1356.59724407       6384.53347081
         11.80000000       1413.87285086       6710.96136274
         11.90000000       1476.86692160       7069.36980668
         12.00000000       1546.01142101       7462.53394861
         12.10000000       1621.77937417       7893.49828510
         12.20000000       1704.68404137       8365.58087265
         12.30000000       1795.27625545       8882.36824571
         12.40000000       1894.13914405       9447.69664887
         12.50000000       2001.87920773      10065.61367208
         12.60000000       2119.11242068      10740.31250583
         12.70000000       2246.44366927      11476.02880739
         12.80000000       2384.43746375      12276.88767260
         12.90000000       2533.57749646      13146.68566377
         13.00000000       2694.21236208      14088.59071510
         13.10000000       2866.48475002      15104.74184569
         13.20000000       3050.24189840      16195.73228875
         13.30000000       3244.92639186      17359.96585099
         13.40000000       3449.44891095      18592.88963294
         13.50000000       3662.04874138      19886.12957053
         13.60000000       3880.15403630      21226.59095867
         13.70000000       4100.26186514      22595.63428984
         13.80000000       4317.86698699      23968.49261186
         13.90000000       4527.47572732      25314.14752820
         14.00000000       4722.74347236      26595.90469366
         14.10000000       4896.76633259      27772.87689206
         14.20000000       5042.53554383      28802.46704708
         14.30000000       5153.52710627      29643.73880748
         14.40000000       5224.35575295      30261.30205980
         14.50000000       5251.38561979      30629.10373314
         14.60000000       5233.17702815      30733.40350922
         14.70000000       5170.67115175      30574.30746707
         14.80000000       5067.06977933      30165.53112458
         14.90000000       4927.43817534      29532.47385680
         15.00000000       4758.11972347      28709.06181975
         15.10000000       4566.08127659      27734.02871527
         15.20000000       4358.30217235      26647.30553605
         15.30000000       4141.28686351      25487.02362223
